date,price,bedrooms,bathrooms,sqft_living,floors,condition,city,statezip,country
02-05-2014 00:00,313000,3,1.5,1340,1.5,3,Shoreline,WA 98133,USA
02-05-2014 00:00,2384000,5,2.5,3650,2,5,Seattle,WA 98119,USA
02-05-2014 00:00,342000,3,2,1930,1,4,Kent,WA 98042,USA
02-05-2014 00:00,420000,3,2.25,2000,1,4,Bellevue,WA 98008,USA
02-05-2014 00:00,550000,4,2.5,1940,1,4,Redmond,WA 98052,USA
02-05-2014 00:00,490000,2,1,880,1,3,Seattle,WA 98115,USA
02-05-2014 00:00,335000,2,2,1350,1,3,Redmond,WA 98052,USA
02-05-2014 00:00,482000,4,2.5,2710,2,3,Maple Valley,WA 98038,USA
02-05-2014 00:00,452500,3,2.5,2430,1,4,North Bend,WA 98045,USA
02-05-2014 00:00,640000,4,2,1520,1.5,3,Seattle,WA 98115,USA
02-05-2014 00:00,463000,3,1.75,1710,1,3,Lake Forest Park,WA 98155,USA
02-05-2014 00:00,1400000,4,2.5,2920,1.5,5,Seattle,WA 98105,USA
02-05-2014 00:00,588500,3,1.75,2330,1,3,Sammamish,WA 98074,USA
02-05-2014 00:00,365000,3,1,1090,1,4,Seattle,WA 98106,USA
02-05-2014 00:00,1200000,5,2.75,2910,1.5,3,Seattle,WA 98105,USA
02-05-2014 00:00,242500,3,1.5,1200,1,4,Kent,WA 98042,USA
02-05-2014 00:00,419000,3,1.5,1570,1,4,Bellevue,WA 98007,USA
02-05-2014 00:00,367500,4,3,3110,2,3,Auburn,WA 98092,USA
02-05-2014 00:00,257950,3,1.75,1370,1,3,Des Moines,WA 98198,USA
02-05-2014 00:00,275000,3,1.5,1180,1,3,North Bend,WA 98045,USA
02-05-2014 00:00,750000,3,1.75,2240,2,5,Seattle,WA 98115,USA
02-05-2014 00:00,435000,4,1,1450,1,4,Bellevue,WA 98006,USA
02-05-2014 00:00,626000,3,2.25,1750,2.5,3,Seattle,WA 98102,USA
02-05-2014 00:00,612500,4,2.5,2730,2,3,Bothell,WA 98011,USA
02-05-2014 00:00,495000,4,1.75,1600,1,3,Seattle,WA 98125,USA
02-05-2014 00:00,285000,3,2.5,2090,1,4,Federal Way,WA 98003,USA
02-05-2014 00:00,615000,3,1.75,2360,1,4,Seattle,WA 98136,USA
02-05-2014 00:00,698000,4,2.25,2200,1.5,5,Kirkland,WA 98033,USA
02-05-2014 00:00,675000,5,2.5,2820,2,3,Issaquah,WA 98029,USA
02-05-2014 00:00,790000,3,2.5,2600,1,4,Seattle,WA 98117,USA
02-05-2014 00:00,382500,4,1.75,1560,1,4,Kirkland,WA 98034,USA
02-05-2014 00:00,499950,4,2.5,2860,2,3,Woodinville,WA 98072,USA
02-05-2014 00:00,650000,4,2,1820,1.5,3,Seattle,WA 98115,USA
02-05-2014 00:00,625000,4,2.5,2820,2,3,Shoreline,WA 98155,USA
02-05-2014 00:00,400000,4,2.5,3630,1.5,3,Auburn,WA 98092,USA
02-05-2014 00:00,604000,3,2.5,3240,2,3,Federal Way,WA 98023,USA
02-05-2014 00:00,440000,2,1,800,1,4,Seattle,WA 98107,USA
02-05-2014 00:00,287200,3,3,1850,1,4,Maple Valley,WA 98038,USA
02-05-2014 00:00,403000,3,2,1960,1,5,Normandy Park,WA 98166,USA
02-05-2014 00:00,750000,3,2.5,2390,1,4,Seattle,WA 98116,USA
02-05-2014 00:00,335000,3,2.25,1580,1,4,Fall City,WA 98024,USA
02-05-2014 00:00,260000,4,2,1480,1,4,Renton,WA 98055,USA
02-05-2014 00:00,308500,2,1,850,1,4,Shoreline,WA 98155,USA
02-05-2014 00:00,439950,3,2.5,1770,2,3,Seattle,WA 98116,USA
